team,confederation,wc_year,wc_appearances,wc_titles,elo_rating,host_nation,consecutive_wc_appearances,is_debut,win_rate_before,goals_scored_per_match_before,goals_conceded_per_match_before,target_champion,target_top4,target_top8
Brazil,CONMEBOL,2006,16,5,2030.0,0,3,0,0.707,2.305,0.976,0,0,1
Brazil,CONMEBOL,2010,17,5,2040.0,0,4,0,0.701,2.287,0.989,0,0,1
Brazil,CONMEBOL,2014,18,5,2020.0,1,5,0,0.707,2.261,0.978,0,1,1
Brazil,CONMEBOL,2018,19,5,2030.0,0,6,0,0.687,2.212,1.051,0,0,1
Brazil,CONMEBOL,2022,20,5,2030.0,0,7,0,0.676,2.162,1.029,0,0,1
Bulgaria,UEFA,1994,0,0,1800.0,0,0,1,0.0,0.0,0.0,0,1,1
Cameroon,CAF,1990,0,0,1720.0,0,0,1,0.0,0.0,0.0,0,0,1
Chile,CONMEBOL,1930,0,0,1620.0,0,0,1,0.0,0.0,0.0,0,0,0
Chile,CONMEBOL,1962,1,0,1780.0,1,1,0,1.0,2.5,1.5,0,1,1
Chile,CONMEBOL,2014,2,0,1830.0,0,1,0,0.75,1.875,1.375,0,0,0
Colombia,CONMEBOL,2014,0,0,1860.0,0,0,1,0.0,0.0,0.0,0,0,1
Costa Rica,CONCACAF,2014,0,0,1750.0,0,0,1,0.0,0.0,0.0,0,0,1
Croatia,UEFA,1998,0,0,1850.0,0,0,1,0.0,0.0,0.0,0,1,1
Croatia,UEFA,2018,1,0,1880.0,0,1,0,0.667,2.0,1.5,0,1,1
Croatia,UEFA,2022,2,0,1890.0,0,1,0,0.692,2.0,1.692,0,1,1
Cuba,CONCACAF,1938,0,0,1450.0,0,0,1,0.0,0.0,0.0,0,0,1
Czech Republic,UEFA,1990,0,0,1840.0,0,0,1,0.0,0.0,0.0,0,0,1
Czechoslovakia,UEFA,1934,0,0,1800.0,0,0,1,0.0,0.0,0.0,0,1,1
Czechoslovakia,UEFA,1962,1,0,1790.0,0,1,0,0.6,1.8,1.4,0,1,1
East Germany,UEFA,1974,0,0,1830.0,0,0,1,0.0,0.0,0.0,0,0,0
Ecuador,CONMEBOL,2006,0,0,1720.0,0,0,1,0.0,0.0,0.0,0,0,0
England,UEFA,1950,0,0,1800.0,0,0,1,0.0,0.0,0.0,0,0,0
England,UEFA,1954,1,0,1820.0,0,1,0,0.333,0.667,0.667,0,0,1
England,UEFA,1962,2,0,1860.0,0,2,0,0.333,1.667,1.833,0,0,1
England,UEFA,1966,3,0,1940.0,1,1,0,0.3,1.4,1.4,1,1,1
England,UEFA,1970,4,1,1940.0,0,2,0,0.5,1.562,1.062,0,0,1
England,UEFA,1982,5,1,1900.0,0,3,0,0.5,1.45,1.05,0,0,0
England,UEFA,1986,6,1,1880.0,0,1,0,0.52,1.4,0.88,0,0,1
England,UEFA,1990,7,1,1910.0,0,2,0,0.5,1.4,0.933,0,1,1
England,UEFA,1998,8,1,1900.0,0,3,0,0.486,1.351,0.919,0,0,0
England,UEFA,2002,9,1,1900.0,0,1,0,0.488,1.39,1.0,0,0,1
England,UEFA,2006,10,1,1910.0,0,2,0,0.5,1.435,1.022,0,0,1
England,UEFA,2018,11,1,1900.0,0,3,0,0.51,1.412,0.961,0,1,1
England,UEFA,2022,12,1,1930.0,0,1,0,0.517,1.448,1.0,0,0,1
France,UEFA,1930,0,0,1700.0,0,0,1,0.0,0.0,0.0,0,0,0
France,UEFA,1938,1,0,1730.0,1,1,0,0.5,2.0,1.5,0,0,1
France,UEFA,1958,2,0,1800.0,0,1,0,0.5,1.75,1.5,0,1,1
France,UEFA,1982,3,0,1900.0,0,1,0,0.7,3.0,2.1,0,1,1
France,UEFA,1986,4,0,1920.0,0,1,0,0.647,2.471,1.882,0,1,1
France,UEFA,1998,5,0,1970.0,1,2,0,0.667,2.25,1.667,1,1,1
France,UEFA,2006,6,1,1960.0,0,1,0,0.71,2.226,1.355,0,1,1
France,UEFA,2014,7,1,1960.0,0,1,0,0.711,2.053,1.184,0,0,1
France,UEFA,2018,8,1,1980.0,0,1,0,0.698,2.047,1.116,1,1,1
France,CONMEBOL,2022,9,2,1980.0,0,2,0,0.72,2.04,1.08,0,1,1
Germany,UEFA,1934,0,0,1820.0,0,0,1,0.0,0.0,0.0,0,1,1
Germany,UEFA,1994,1,0,1960.0,0,1,0,0.75,2.75,2.0,0,0,1
Germany,UEFA,1998,2,0,1960.0,0,1,0,0.667,2.222,1.667,0,0,1
Germany,UEFA,2002,3,0,1940.0,0,2,0,0.643,2.0,1.571,0,1,1
Germany,UEFA,2006,4,0,1960.0,1,3,0,0.667,2.0,1.476,0,1,1
Germany,UEFA,2010,5,0,1960.0,0,4,0,0.679,2.0,1.321,0,1,1
Germany,UEFA,2014,6,0,1990.0,0,5,0,0.686,2.057,1.343,1,1,1
Ghana,CAF,2010,0,0,1720.0,0,0,1,0.0,0.0,0.0,0,0,1
Hungary,UEFA,1934,0,0,1800.0,0,0,1,0.0,0.0,0.0,0,0,1
Hungary,UEFA,1938,1,0,1830.0,0,1,0,0.5,3.0,3.0,0,1,1
Hungary,UEFA,1954,2,0,1930.0,0,2,0,0.667,3.5,1.833,0,1,1
Hungary,UEFA,1962,3,0,1870.0,0,1,0,0.727,4.364,1.727,0,0,1
Hungary,UEFA,1966,4,0,1870.0,0,1,0,0.733,3.867,1.733,0,0,1
Italy,UEFA,1934,0,0,1950.0,1,0,1,0.0,0.0,0.0,1,1,1
Italy,UEFA,1938,1,1,1990.0,0,1,0,0.8,2.4,0.6,1,1,1
Italy,UEFA,1970,2,2,1940.0,0,2,0,0.889,2.556,0.889,0,1,1
Italy,UEFA,1978,3,2,1950.0,0,1,0,0.733,2.2,1.067,0,1,1
Italy,UEFA,1982,4,2,1970.0,0,1,0,0.682,1.909,0.909,1,1,1
Italy,UEFA,1990,5,3,1960.0,1,2,0,0.655,1.862,0.897,0,1,1
Italy,UEFA,1994,6,3,1940.0,1,1,0,0.667,1.778,0.778,0,1,1
Italy,UEFA,1998,7,3,1940.0,0,2,0,0.651,1.674,0.744,0,0,1
Italy,UEFA,2006,8,3,1970.0,0,3,0,0.646,1.667,0.75,1,1,1
Ivory Coast,CAF,2010,0,0,1720.0,0,0,1,0.0,0.0,0.0,0,0,0
Japan,AFC,2010,0,0,1760.0,0,0,1,0.0,0.0,0.0,0,0,0
Japan,AFC,2014,1,0,1770.0,0,1,0,0.5,1.0,0.5,0,0,0
Mexico,CONCACAF,1930,0,0,1500.0,0,0,1,0.0,0.0,0.0,0,0,0
Mexico,CONCACAF,1950,1,0,1520.0,0,1,0,0.0,1.333,4.333,0,0,0
Mexico,CONCACAF,1970,2,0,1700.0,1,1,0,0.0,1.0,3.833,0,0,1
Mexico,CONCACAF,1986,3,0,1720.0,1,1,0,0.2,1.2,2.8,0,0,1
Mexico,CONCACAF,2010,4,0,1750.0,0,1,0,0.333,1.333,2.133,0,0,0
Mexico,CONCACAF,2014,5,0,1780.0,0,1,0,0.316,1.263,1.947,0,0,0
Morocco,CAF,2022,0,0,1830.0,0,0,1,0.0,0.0,0.0,0,1,1
Netherlands,UEFA,1974,0,0,1940.0,0,0,1,0.0,0.0,0.0,0,1,1
Netherlands,UEFA,1978,1,0,1950.0,0,1,0,0.714,2.143,0.714,0,1,1
Netherlands,UEFA,1994,2,0,1920.0,0,2,0,0.714,2.143,0.857,0,0,1
Netherlands,UEFA,1998,3,0,1940.0,0,1,0,0.684,2.211,1.0,0,1,1
Netherlands,UEFA,2010,4,0,1960.0,0,2,0,0.68,2.2,1.04,0,1,1
Netherlands,UEFA,2014,5,0,1960.0,0,1,0,0.688,2.094,1.0,0,1,1
Netherlands,UEFA,2022,6,0,1940.0,0,2,0,0.692,2.103,0.923,0,0,1
Northern Ireland,UEFA,1982,0,0,1750.0,0,0,1,0.0,0.0,0.0,0,0,0
Paraguay,CONMEBOL,1930,0,0,1550.0,0,0,1,0.0,0.0,0.0,0,0,0
Paraguay,CONMEBOL,2010,1,0,1770.0,0,1,0,0.5,1.0,1.0,0,0,1
Peru,CONMEBOL,1930,0,0,1600.0,0,0,1,0.0,0.0,0.0,0,0,0
Peru,CONMEBOL,1970,1,0,1750.0,0,1,0,0.5,1.5,2.0,0,0,1
Peru,CONMEBOL,1978,2,0,1760.0,0,1,0,0.5,2.0,2.167,0,0,0
Poland,UEFA,1974,0,0,1870.0,0,0,1,0.0,0.0,0.0,0,1,1
Poland,UEFA,1978,1,0,1870.0,0,1,0,0.857,2.286,0.714,0,0,0
Poland,UEFA,1982,2,0,1880.0,0,2,0,0.727,1.818,0.909,0,1,1
Portugal,UEFA,1966,0,0,1850.0,0,0,1,0.0,0.0,0.0,0,1,1
Portugal,UEFA,2006,1,0,1920.0,0,1,0,0.833,2.833,1.333,0,1,1
Portugal,UEFA,2022,2,0,1920.0,0,1,0,0.769,2.385,1.0,0,0,1
Rep of Ireland,UEFA,1990,0,0,1790.0,0,0,1,0.0,0.0,0.0,0,0,1
Romania,UEFA,1930,0,0,1650.0,0,0,1,0.0,0.0,0.0,0,0,0
Romania,UEFA,1994,1,0,1820.0,0,1,0,0.5,1.5,2.5,0,0,1
Russia,UEFA,2018,0,0,1720.0,1,0,1,0.0,0.0,0.0,0,0,1
Scotland,UEFA,1978,0,0,1810.0,0,0,1,0.0,0.0,0.0,0,0,0
Senegal,CAF,2002,0,0,1680.0,0,0,1,0.0,0.0,0.0,0,0,1
South Korea,AFC,2002,0,0,1780.0,1,0,1,0.0,0.0,0.0,0,1,1
South Korea,AFC,2006,1,0,1780.0,0,1,0,0.429,1.143,0.857,0,0,0
South Korea,AFC,2010,2,0,1770.0,0,2,0,0.364,1.0,1.0,0,0,0
Soviet Union,UEFA,1962,0,0,1870.0,0,0,1,0.0,0.0,0.0,0,0,1
Soviet Union,UEFA,1966,1,0,1900.0,0,1,0,0.5,2.0,1.25,0,1,1
Soviet Union,UEFA,1970,2,0,1900.0,0,2,0,0.6,1.9,1.1,0,0,1
Spain,UEFA,1934,0,0,1780.0,0,0,1,0.0,0.0,0.0,0,0,1
Spain,UEFA,1950,1,0,1820.0,0,1,0,0.667,4.0,1.333,0,1,1
Spain,UEFA,1982,2,0,1890.0,1,1,0,0.714,3.143,1.286,0,0,0
Spain,UEFA,1986,3,0,1880.0,0,1,0,0.5,2.167,1.0,0,0,1
Spain,UEFA,1994,4,0,1910.0,0,2,0,0.471,2.0,1.118,0,0,1
Spain,UEFA,2002,5,0,1920.0,0,1,0,0.5,1.909,1.227,0,0,1
Spain,UEFA,2010,6,0,1980.0,0,1,0,0.519,2.0,1.148,1,1,1
Sweden,UEFA,1934,0,0,1700.0,0,0,1,0.0,0.0,0.0,0,0,1
Sweden,UEFA,1938,1,0,1720.0,0,1,0,0.5,2.0,2.5,0,1,1
Sweden,UEFA,1950,2,0,1770.0,0,2,0,0.667,2.5,2.0,0,1,1
Sweden,UEFA,1958,3,0,1810.0,1,3,0,0.6,2.2,1.9,0,1,1
Sweden,UEFA,1974,4,0,1800.0,0,1,0,0.625,2.25,1.812,0,0,0
Sweden,UEFA,1994,5,0,1850.0,0,1,0,0.55,2.0,1.65,0,1,1
Sweden,UEFA,2018,6,0,1840.0,0,1,0,0.556,2.037,1.63,0,0,1
Switzerland,UEFA,1934,0,0,1730.0,0,0,1,0.0,0.0,0.0,0,0,1
Switzerland,UEFA,1950,1,0,1730.0,0,1,0,0.667,1.667,1.333,0,0,0
Switzerland,UEFA,1954,2,0,1740.0,1,1,0,0.667,2.167,2.167,0,0,1
Turkey,UEFA,2002,0,0,1850.0,0,0,1,0.0,0.0,0.0,0,1,1
Ukraine,UEFA,2006,0,0,1810.0,0,0,1,0.0,0.0,0.0,0,0,1
United States,CONCACAF,1930,0,0,1600.0,0,0,1,0.0,0.0,0.0,0,1,1
United States,CONCACAF,2002,1,0,1760.0,0,1,0,0.667,2.333,2.0,0,0,1
United States,CONCACAF,2010,2,0,1770.0,0,1,0,0.5,1.875,1.75,0,0,0
United States,CONCACAF,2014,3,0,1780.0,0,1,0,0.417,1.667,1.583,0,0,0
Uruguay,CONMEBOL,1930,0,0,1930.0,1,0,1,0.0,0.0,0.0,1,1,1
Uruguay,CONMEBOL,1934,1,1,,0,1,0,1.0,3.75,0.75,0,0,0
Uruguay,CONMEBOL,1950,2,1,1990.0,0,2,0,0.0,0.0,0.0,1,1,1
Uruguay,CONMEBOL,1954,3,2,1940.0,0,1,0,0.0,0.0,0.0,0,1,1
Uruguay,CONMEBOL,1958,4,2,1890.0,0,2,0,0.0,0.0,0.0,0,0,0
Uruguay,CONMEBOL,1966,5,2,1890.0,0,3,0,0.0,0.0,0.0,0,0,1
Uruguay,CONMEBOL,1970,6,2,1890.0,0,1,0,0.0,0.0,0.0,0,1,1
Uruguay,CONMEBOL,2010,7,2,1890.0,0,2,0,0.0,0.0,0.0,0,1,1
Uruguay,CONMEBOL,2018,8,2,1890.0,0,1,0,0.0,0.0,0.0,0,0,1
West Germany,UEFA,1954,0,0,1900.0,0,0,1,0.0,0.0,0.0,1,1,1
West Germany,UEFA,1958,1,1,1900.0,0,1,0,0.667,4.167,2.333,0,1,1
West Germany,UEFA,1962,2,1,1920.0,0,2,0,0.667,3.083,2.333,0,0,1
West Germany,UEFA,1966,3,1,1940.0,0,3,0,0.625,2.688,2.188,0,1,1
West Germany,UEFA,1970,4,1,1950.0,0,4,0,0.636,2.682,2.045,0,1,1
West Germany,UEFA,1974,5,1,1970.0,1,5,0,0.643,2.75,2.143,1,1,1
West Germany,UEFA,1978,6,2,1950.0,0,6,0,0.686,2.571,1.829,0,0,0
West Germany,UEFA,1982,7,2,1960.0,0,7,0,0.641,2.462,1.769,0,1,1
West Germany,UEFA,1986,8,2,1950.0,0,8,0,0.63,2.348,1.739,0,1,1
West Germany,UEFA,1990,9,2,1970.0,0,9,0,0.642,2.321,1.755,1,1,1
Yugoslavia,UEFA,1930,0,0,1750.0,0,0,1,0.0,0.0,0.0,0,1,1
Yugoslavia,UEFA,1950,1,0,1780.0,0,1,0,0.667,2.333,2.333,0,0,0
Yugoslavia,UEFA,1954,2,0,1780.0,0,1,0,0.667,2.333,1.667,0,0,1
Yugoslavia,UEFA,1962,3,0,1800.0,0,2,0,0.667,2.0,1.667,0,1,1
Yugoslavia,UEFA,1974,4,0,1800.0,0,1,0,0.667,2.2,1.667,0,0,0
Yugoslavia,UEFA,1990,5,0,1860.0,0,1,0,0.579,2.0,1.579,0,0,1
